team,region
100T,Americas
C9,Americas
EG,Americas
ENVY,Americas
FUR,Americas
G2,Americas
KRÜ,Americas
LEV,Americas
LOUD,Americas
MIBR,Americas
NIP,Americas
NRG,Americas
OPTC,Americas
SEN,Americas
TGRD,Americas
V1,Americas
VKS,Americas
XSET,Americas
BLG,China
DRG,China
EDG,China
NU,China
SHK,China
TE,China
WOL,China
XIA,China
XLG,China
ACE,EMEA
BBL,EMEA
BME,EMEA
FNC,EMEA
FPX,EMEA
FUT,EMEA
GIA,EMEA
GLD,EMEA
GMB,EMEA
GX,EMEA
KC,EMEA
MKOI,EMEA
NAVI,EMEA
SUP,EMEA
TH,EMEA
TL,EMEA
VIT,EMEA
ASE,Pacific
CR,Pacific
DFM,Pacific
F4Q,Pacific
FS,Pacific
GE,Pacific
GEN,Pacific
KRX,Pacific
LBR,Pacific
NTH,Pacific
PRX,Pacific
RRQ,Pacific
T1,Pacific
TLN,Pacific
TS,Pacific
VS,Pacific
X10,Pacific
ZETA,Pacific
Team,Unknown
tarik,Unknown
